,tweet
31,"Festival LASQI NTB, Kontingen Kabupaten Bima Raih Juara Umum - .  https://t.co/7MEWoG56dD"
32,"@ListyoSigitP Banyak masyarakat provinsi NTB. Yg sangat kecewa, pada kinerja kepolisian Polres Bima kota. Karna Satnarkoba polres kota Bima. Telah membebaskan para bandar narkoba.  https://t.co/aNxNyP9JbH"
33,@ListyoSigitP Mohon di tanggapi atas kekecewaan masyarakat di Bima dan Dompu NTB pak kapolri @ListyoSigitP  atas gagalnya Anggota nya di polres Bima kota ..  https://t.co/YkdHCNEk4Y
34,"BMKG menyatakan gempa bumi magnitudo 5,3 yang terjadi di wilayah Bima, Nusa Tenggara Barat (NTB), tidak berpotensi tsunami.  https://t.co/6MNTN3fSac  https://t.co/bnLMJND7ko"
35,"@ListyoSigitP Banyak masyarakat yg kecewa kepada bapak Kapolri dan Polres kota Bima , provinsi NTB .. atas kinerja nya yg kurang bagus, Satnarkoba polres kota Bima telah membebaskan para bandar narkoba.. mohon di tindak lanjuti pak semakin mnrn kepercayaan masyarakat terhadap Kepolisian  https://t.co/Fb6wABLdwH"
36,Kota Bima NTB Dilanda Gempa Bumi  https://t.co/bwqkDEEtIr
37,"Setelah Bima, Gempa Bumi Kembali Guncang Lombok NTB  https://t.co/Fue2QvHIcz  https://t.co/1dYsh1zXXe"
38,"Minggu Pagi, Gempa M5,3 Guncang Bima NTB  https://t.co/qrpwqicuLd"
39,"2 Gempa Dalam dengan magnitudo 5 terjadi di wilayah Timur Indonesia Minggu 16 Oktober 2022 - M 5,1 ( 01:31 WIB) kedalaman 160 km, TIMOR LESTE, LAUT BANDA - M 5,3 ( 04:22 WIB) kedalaman 123 km,NTB, BIMA  https://t.co/pKPklrBiK8"
40,"Gempa Magnitudo 5,3 Getarkan Bima NTB  https://t.co/JwUAEjCEG8"
41,"Minggu Pagi, Gempa M5,3 Guncang Bima NTB  https://t.co/3WAGXLHOuC"
42,"Minggu Pagi, Gempa M5,3 Guncang Bima NTB  https://t.co/nPX74OH7kN"
43,"Kota Bima, NTB Diguncang Gempa 5,3 SR  https://t.co/oHexALM9H8"
44,"Bima NTB Diguncang Gempa Bumi Magnitudo 5,3, Ada Potensi Tsunami?  https://t.co/X9fqq29ZSz"
45,Published on YouTube: 🔴 BIMA NTB MEMANAS❗ANCAMAN❗PERSEKUSI ❗HIJRAH DARI SEKTE ISLAM JAMAAH  https://t.co/LxE1QNzKHB  #LDII 354 #JOKAM #IslamJamaah #HIJRAH #MengawalParadigmaBaru #MubalighHijrah
46,"@ListyoSigitP Kami ingin Dari satnarkoba polres kota Bima NTB . Di rombak semua pak, karna mereka setiap x penangkapan tidak pernah lakukan pengembangan serta penyelidikan jika mereka melakukan pasti bandar besar narkoba akan di tangkap tapi mereka tidak melakukan pengembangan serta penyelidik  https://t.co/xzybLUf74H"
47,"Gempa di Bima NTB dengan Magnitudo 5,2 Tidak Berpotensi Tsunami #Gempa  #NTB #BMKG  https://t.co/FsZRZyvz9Z"
48,"Gempa bumi magnitudo 5,3 guncang Bima NTB  https://t.co/ZMtIUO0uu3"
49,"Info Gempa Mag:5.3, 16-Okt-22 04:22:49 WIB, Lok:8.65 LS, 118.92 BT (28 km Tenggara KOTA-BIMA-NTB), Kedlmn:123 Km, dirasakan di Bima dan Dompu III MMI ::BMKG  https://t.co/mjlIncm5kA"
50,"@ListyoSigitP Kita lapor ke Polda tidak pernah di tanggapi dengan serius, Saya pastikan pak  kepercayaan masyarakat terhadap Kepolisian semakin menurun karna terkait anak buah bapak yg ada di Bima NTB khususnya Polres Bima kota nakal dengan para bandar besar narkoba sehingga ada yg dibebaskan"
51,@ListyoSigitP Pak Kapolri mana janji anda pak. Anda bilang jika anggota melakukan pelanggaran maka masyarakat wajib lapor ke saya . Agar tindak lanjut.. mana janji anda Itu di Bima NTB narkoba semakin merajalela karna ada banyak oknum polisi yg membek-up para bandar besar narkoba#Polreskotabim
52,"Gempa M 5,3 Guncang Bima, NTB  https://t.co/DAvxqIgmFU"
53,"Gempa M 5,3 Guncang Bima, NTB  https://t.co/hCdKQspSFy"
54,"Gempa bumi berkekuatan 5,3 magnitudo mengguncang Kota Bima, NTB. Gempa terjadi pada Minggu (16/10) pukul 04.22 WIB. #kumparanNEWS  https://t.co/LQ3CvaEXWS"
55,"Gempa Magnitudo 5,3 Guncang Bima NTB #LengkapCepatBeritanya #BeritaTerkini #BeritaDaerah .  https://t.co/7MLPXZXlB5"
56,"Gempa Bumi Minggu 16 Oktober 2022 04:22 WIB Tidak berpontensi tsunami 28 km Tenggara KOTA-BIMA-NTB Jarak dari Semarang: 954 km Koordinat: -8.65,118.92 Magnitude: 5.3 Kedalaman: 123 km  #sipantau Sumber : BMKG"
57,"Ada #Gempa 28 km Tenggara KOTA-BIMA-NTB yang berkekuatan 5.3 SR dengan kedalaman 123 km pada koordinat: -8.65 dan 118.92, tanggal 16 Oct 2022 04:10 WIB  https://t.co/RXxuHeBwJO"
58,"[BMKG] M5.3 Oct-15 21:30:03 UTC, 28 km Tenggara KOTA-BIMA-NTB, Depth:123.0km,  #quake  https://t.co/9RN3KsaymS"
59,"Terjadi Gempa, 28 km Tenggara KOTA-BIMA-NTB, 16 Okt 2022, 04:22:49 WIB | Koordinat 8.65 LS, 118.92 BT | Magnitudo 5.3, Kedalaman 123 km | Tidak berpotensi tsunami |  https://t.co/SeRojt5l26"
60,"#Gempa Mag:5.3, 16-Okt-22 04:22:49 WIB, Lok:8.65 LS,118.92 BT (28 km Tenggara KOTA-BIMA-NTB), Kedlmn:123 Km, tdk berpotensi tsunami. @infoBMKG  https://t.co/TXpgm6NQem"
61,"16-10-22 04:22:49 WIB, #GEMPA, Daya: SEDANG, Magnitude: 5.3, Kedalaman: 123 Km, Pusat: 28 km Tenggara KOTA-BIMA-NTB, Map:  https://t.co/SfZPZ7ICua  #InfoGempa #EarthQuakeIndonesia"
62,"#Gempa Magnitudo: 5.3, Kedalaman: 123 km, 16 Okt 2022 04:22:49 WIB, Koordinat: 8.65 LS-118.92 BT (28 km Tenggara KOTA-BIMA-NTB), Tidak berpotensi tsunami #BMKG  https://t.co/OiHiTwvX8x"
63,"#Gempa Mag:5.3, 16-Okt-22 04:22:49 WIB, Lok:8.65 LS,118.92 BT (28 km Tenggara KOTA-BIMA-NTB), Kedlmn:123 Km, tdk berpotensi tsunami #BMKG  https://t.co/LOlVzL8iw5"
64,"Boyong Trophy Festival LASQI, Kontingen Kabupaten Bima jadi Duta NTB  https://t.co/52N5htpzk6"
65,Paguyuban Pasundan Bima Gelar Maulid Nabi Muhammad SAW  https://t.co/KNM137DWWX
