,Unnamed: 0,tweet
38,38,"['hipsi', 'buka', 'layan', 'psikologis', 'korban', 'libat', 'tragedikanjuruhan']"
39,39,"['tragedi', 'kanjuruhan', 'yg', 'milu', 'gerogot', 'hati', 'jgn', 'ulang', 'fifa', 'sempat', 'emas', 'utk', 'baik', 'tata', 'kelola', 'sepakbola', 'indonesia']"
40,40,"['pn', 'jakarta', 'pusat', 'gelar', 'sidang', 'perdana', 'gugat', 'ijazah', 'palsu', 'jokowi']"
41,41,"['lho', 'ancene', 'rusuh', 'nang', 'kanjuruhan', 'gk', 'bukti', 'maneh']"
42,42,"['pn', 'jakarta', 'pusat', 'gelar', 'sidang', 'perdana', 'gugat', 'ijazah', 'palsu', 'jokowi']"
43,43,"['pn', 'jakarta', 'pusat', 'gelar', 'sidang', 'perdana', 'gugat', 'ijazah', 'palsu', 'jokowi']"
44,44,"['tragedi', 'kanjuruhan', 'sisa', 'duka', 'misteri', 'duka', 'suporter', 'korban', 'misteri', 'polisi', 'tembak', 'gas', 'air', 'mata']"
45,45,"['jaman', 'rezim', 'kuasa', 'fakta', 'bhw', 'buzzerrp', 'medsos', 'dunia', 'nyata', 'yg', 'sulit', 'drama', 'adu', 'masyarakat', 'kemarin', 'polisi', 'pojok', 'kanjuruhan', 'buat', 'drama', 'ibuibu', 'jual', 'dawet']"
46,46,"['pn', 'jakarta', 'pusat', 'gelar', 'sidang', 'perdana', 'gugat', 'ijazah', 'palsu', 'jokowi']"
47,47,"['presiden', 'joko', 'widodo', 'temu', 'presiden', 'fifa', 'gianni', 'infantino', 'istana', 'merdeka', 'temu', 'rangka', 'awal', 'transformasi', 'sepak', 'bola', 'indonesia', 'pascatragedi', 'stadion', 'kanjuruhan', 'malang', 'oktober']"
48,48,"['pn', 'jakarta', 'pusat', 'gelar', 'sidang', 'perdana', 'gugat', 'ijazah', 'palsu', 'jokowi']"
49,49,"['tragedi', 'kanjuruhan', 'tum', 'pssi', 'iwan', 'bule', 'tunda', 'periksa', 'viva']"
50,50,"['ketua', 'pssi', 'iwan', 'bule', 'sedia', 'periksa', 'tragedi', 'kanjuruhan', 'iwan', 'bule', 'periksa', 'tunda', 'via', 'jatim']"
51,51,"['panggil', 'polda', 'kait', 'tragedi', 'kanjuruhan', 'ketua', 'pssi', 'via']"
52,52,"['nord', 'alam', 'gua', 'fans', 'netralyg', 'gbt', 'kanjuruhanbukan', 'sudut']"
53,53,"['sal', 'ratus', 'korban', 'data', 'butuh', 'pulih', 'psikologi', 'singgung', 'langsung', 'tragedi', 'kanjuruhan']"
54,54,"['periksa', 'tum', 'pssi', 'iwan', 'bule', 'kait', 'tragedi', 'kanjuruhan', 'tunda']"
55,55,"['mantap', 'towerannya']"
56,56,"['jam', 'rekam', 'cctv', 'stadion', 'kanjuruhan', 'hilang', 'anak', 'buah', 'mas', 'ahy', 'curiga', 'sosok', 'akses', 'hapus']"
57,57,"['kriting', 'kayak', 'buzzer', 'bayar', 'salah', 'suporter', 'cikal', 'tragedi', 'kanjuruhan', 'yg', 'waras', 'ya', 'salah', 'tangan', 'aparat']"
58,58,"['tragedi', 'kanjuruhan', 'tgipf', 'jabat', 'polri', 'selidik']"
59,59,"['usut', 'tuntas', 'tragedi', 'kanjuruhan', 'polisi', 'terap', 'diskresi', 'hukum', 'adil', 'gavi', 'musiala', 'buddha', 'bharada', 'bonek', 'wak', 'haji', 'gubernur', 'to', 'tomcat']"
