,tweet
35,"@txtdrberseragam Coba² ye kan , rekayasa sambo nyaris berhasil soal cctv , ini kalo bs di ulang di kanjuruhan wkwk"
36,"Mengurai Tragedi Kemanusiaan Kanjuruhan, Titik Nadir Sepak Bola Indonesia.   https://t.co/q7OMeElyp5"
37,Polda Jatim menggelar doa bersama untuk seluruh korban tragedi kanjuruhan kabupaten Malang.  #PengabdianKepadaRakyat  https://t.co/Kucw2DinM0
38,HIPSI Buka Layanan Psikologis Bagi Korban Maupun Pihak Terlibat Tragedi Kanjuruhan  https://t.co/fGvzXdQn8i
39,"Tragedi Kanjuruhan yg memilukan, menggerogoti hati kita, jgn sampai terulang lagi!, FIFA memberi kesempatan emas utk memperbaiki tata kelola sepakbola Indonesia  #BangkitBersamaET  https://t.co/9BeWtfTFFR"
40,PN Jakarta Pusat Gelar Sidang Perdana Gugatan Ijazah Palsu Jokowi Hari Ini -  https://t.co/1wIQG0e96a #UsutIdentitasPemalsuDiri
41,@ganisrumpoko Lho ancene rusuh nang kanjuruhan. Gk perlu pembuktian maneh
42,PN Jakarta Pusat Gelar Sidang Perdana Gugatan Ijazah Palsu Jokowi Hari Ini -  https://t.co/1wIQG0e96a #RevolusiSelamatkanRakyat
43,PN Jakarta Pusat Gelar Sidang Perdana Gugatan Ijazah Palsu Jokowi Hari Ini -  https://t.co/1wIQG0e96a #MubahalahKM50
44,Tragedi Kanjuruhan masih menyisakan duka dan misteri. Duka bagi suporter yang jadi korban dan masih misteri kenapa polisi harus menembakkan gas air mata.   https://t.co/nk1kvkZhDy
45,"@ChusnulCh__ Jaman rezim penguasa sekarang, Sudah menjadi fakta bhw BuzzerRp itu bukan hanya di medsos, Di dunia nyata pun ada.. Bukan hal yg sulit kok, membuat drama pengaduan masyarakat, Kemarin saat polisi terpojok di Kanjuruhan, dibuatlah drama ibu-ibu penjual dawet🤣"
46,PN Jakarta Pusat Gelar Sidang Perdana Gugatan Ijazah Palsu Jokowi Hari Ini -  https://t.co/1wIQG0e96a #UsutTuntasKanjuruhan
